,HS10_min,HS10_mean,HS10_max,HS20_min,HS20_mean,HS20_max,HS30_min,HS30_mean,HS30_max,HS40_min,HS40_mean,HS40_max,HS50_min,HS50_mean,HS50_max,HS60_min,HS60_mean,HS60_max,TS30_min,TS30_mean,TS30_max,id_nodo,MNDT,MXDT,MCD,CMNDT,CMXDT,litros_diarios,TA_mean,TA_max,TA_min,HA_mean,HA_max,HA_min,radiacion,precipitacion,eto,fase
2023-04-01,0.5019,0.5161122302158273,0.5459,0.5565,0.5689158273381295,0.5905,0.5818,0.6006046762589928,0.6386,0.6587,0.694331654676259,0.7424,0.7006,0.7383460431654676,0.7679,0.7423,0.7529636690647482,0.759,19.62,19.766762589928057,19.93,6,41.290313720703125,41.45968627929688,0.1693725585937571,,,0.0,21.22,26.45,17.26,0.3688,0.5729,0.21960000000000002,13.87,0.0,4.49,
2023-04-02,0.4964,0.5866558394160584,0.7875,0.5542,0.6188485401459854,0.8026,0.5806,0.6480890510948906,0.8381,0.653,0.6883821167883212,0.7403,0.6845,0.6896496350364963,0.7006,0.7321,0.7358576642335767,0.7425,19.37,19.69795620437956,20.0,6,41.29412841796875,41.418487548828125,0.124359130859375,0.003814697265625,-0.041198730468757105,24.0,17.74,23.83,10.03,0.2913,0.5922,0.1458,24.85,0.0,5.28,
2023-04-03,0.5138,0.6050330882352941,0.7967,0.5664,0.6339216911764707,0.8026,0.6049,0.6769404411764706,0.8474,0.6875,0.7534121323529411,0.8665,0.6894,0.7111356617647059,0.748,0.7319,0.7332988970588236,0.7346,18.75,19.16470588235294,19.56,6,41.4207763671875,41.523773193359375,0.102996826171875,0.12664794921875,0.10528564453125,26.0,13.94,21.26,8.85,0.4631,0.757,0.2161,24.04,0.0,3.75,
2023-04-04,0.5011,0.5205665427509294,0.5622,0.5537,0.5694624535315984,0.5992,0.5855,0.6144014869888476,0.6611,0.6909,0.7359825278810409,0.7788,0.723,0.7422516728624535,0.7533,0.73,0.7341345724907063,0.7375,18.37,18.685092936802974,19.06,6,41.43374633789063,41.601593017578125,0.1678466796874929,0.012969970703132105,0.07781982421875,0.0,13.65,20.37,7.5,0.6481999999999999,0.882,0.37329999999999997,24.51,0.0,3.46,1.0
2023-04-05,0.4972,0.6000756756756757,0.7865,0.5526,0.6314339768339768,0.8002,0.5855,0.6660486486486487,0.8403,0.6849,0.7503042471042471,0.8355,0.7164,0.7210490347490347,0.7285,0.7279,0.7294849420849421,0.7312,18.06,18.391428571428573,18.68,6,41.439849853515625,41.59243774414063,0.1525878906250071,0.006103515624992895,-0.009155273437492895,25.333333333333485,12.92,19.76,6.04,0.6551,0.9690000000000001,0.36729999999999996,24.12,0.0,3.44,1.0
2023-04-06,0.5304,0.6237250965250966,0.8024,0.5784,0.6478606177606178,0.8026,0.6344,0.6954316602316603,0.8465,0.7641,0.7894289575289575,0.9091,0.7288,0.7901054054054054,0.8879,0.7292,0.7565374517374517,0.7898,17.5,18.04111969111969,18.43,6,41.59320068359375,41.674835205078125,0.081634521484375,0.153350830078125,0.0823974609374929,26.666666666666515,12.97,20.5,6.37,0.6331,0.934,0.23120000000000002,23.42,0.0,3.57,1.0
2023-04-07,0.502,0.5268150579150579,0.576,0.5517,0.5706644787644788,0.6052,0.5769,0.6101911196911197,0.6592,0.6721,0.7210544401544401,0.7645,0.7441,0.7840320463320464,0.8166,0.7636,0.7772104247104247,0.7878,17.5,17.76930501930502,18.12,6,41.5428466796875,41.720611572265625,0.177764892578125,-0.05035400390625,0.0457763671875,0.0,13.56,22.13,5.41,0.5877,0.991,0.1891,24.75,0.0,3.68,1.0
2023-04-08,0.4972,0.6033916666666667,0.7825,0.5504,0.6332429824561404,0.795,0.5767,0.658775,0.8284,0.6643,0.7248491228070175,0.8057,0.7241,0.7314118421052631,0.7438,0.749,0.7548464912280701,0.7636,17.31,17.698508771929824,18.06,6,41.548187255859375,41.735870361328125,0.18768310546875,0.005340576171875,0.0152587890625,27.333333333333485,15.49,28.43,5.59,0.5837,0.97,0.17129999999999998,25.06,0.0,4.66,1.0
2023-04-09,0.5341,0.6254770562770562,0.8002,0.5843,0.652591774891775,0.805,0.634,0.6960121212121212,0.8432,0.7417,0.7758593073593074,0.89,0.7306,0.7837909090909091,0.8816,0.747,0.7686363636363637,0.7971,18.0,18.2374025974026,18.62,6,41.73663330078125,41.82818603515625,0.091552734375,0.188446044921875,0.092315673828125,28.0,16.04,25.41,9.74,0.708,0.986,0.3,23.61,0.0,3.88,1.0
2023-04-10,0.5083,0.5327356223175965,0.5808,0.5576,0.5779291845493563,0.6115,0.5821,0.6177484978540771,0.6645,0.6736,0.7229098712446351,0.763,0.7418,0.7815793991416309,0.8108,0.7697,0.7837454935622317,0.7944,18.37,18.57978540772532,18.81,6,41.71832275390625,41.9151611328125,0.19683837890625,-0.018310546875,0.08697509765625,0.0,16.23,25.27,9.16,0.77,0.995,0.43270000000000003,22.68,0.0,3.73,1.0
