,HS10_min,HS10_mean,HS10_max,HS20_min,HS20_mean,HS20_max,HS30_min,HS30_mean,HS30_max,HS40_min,HS40_mean,HS40_max,HS50_min,HS50_mean,HS50_max,HS60_min,HS60_mean,HS60_max,TS30_min,TS30_mean,TS30_max,id_nodo,MNDT,MXDT,MCD,CMNDT,CMXDT,litros_diarios,TA_mean,TA_max,TA_min,HA_mean,HA_max,HA_min,radiacion,precipitacion,eto,fase
2019-04-01,0.8206,0.8284779527559055,0.8383,0.8008,0.8101984251968504,0.8298,0.7646,0.7742866141732284,0.7946,0.7201,0.7295566929133859,0.7496,0.7939,0.7994307086614173,0.8065,0.7242,0.7273220472440945,0.7305,14.6,14.792125984251967,15.2,4,43.2825,43.2925,0.00999999999999801,,,11.600000000000136,14.59,19.73,11.81,0.863,0.976,0.6187,14.34,0.0,2.35,1
2019-04-02,0.8155,0.8203717391304347,0.8246,0.7981,0.8007536231884058,0.807,0.762,0.7673268115942029,0.774,0.7163,0.7238869565217392,0.7306,0.7979,0.7995050724637681,0.8016,0.7279,0.7284623188405797,0.7296,15.2,15.4768115942029,16.2,4,43.285,43.3025,0.0175000000000054,0.0024999999999977263,0.010000000000005116,0.0,16.64,23.52,10.89,0.742,0.963,0.37689999999999996,20.13,0.0,3.34,1
2019-04-03,0.8033,0.8234138686131387,0.8469,0.7917,0.8081503649635037,0.838,0.7611,0.776705109489051,0.8124,0.7166,0.7358087591240876,0.7897,0.7975,0.8032496350364964,0.8144,0.7272,0.7305693430656935,0.7344,16.0,16.243795620437957,16.6,4,43.28,43.2925,0.012499999999995737,-0.0049999999999954525,-0.010000000000005116,11.200000000000045,17.37,24.66,9.82,0.6189,0.951,0.2718,22.72,0.2,4.08,1
2019-04-04,0.7978,0.8111411764705883,0.8228,0.7919,0.7974867647058824,0.8075,0.7604,0.7670544117647059,0.7763,0.7161,0.7273286764705883,0.7386,0.8,0.802227205882353,0.8049,0.7303,0.7311610294117648,0.7324,16.2,16.408823529411762,16.6,4,43.28,43.2925,0.012499999999995737,0.0,0.0,0.0,14.21,19.66,10.22,0.6475,0.917,0.2404,22.16,0.0,3.54,1
2019-04-05,0.7889,0.8150654135338345,0.8452,0.786,0.8049691729323308,0.8372,0.7569,0.775348120300752,0.8122,0.7124,0.7359624060150376,0.7946,0.7984,0.8046834586466165,0.8195,0.7291,0.7333984962406015,0.7398,16.0,16.309774436090223,16.4,4,43.2825,43.3025,0.020000000000003126,0.0024999999999977263,0.010000000000005116,19.399999999999864,12.76,20.19,7.82,0.7240000000000001,0.8959999999999999,0.3763,14.67,3.17,2.82,1
2019-04-06,0.8036,0.8127358208955223,0.8277,0.786,0.7952179104477612,0.8125,0.7548,0.7628694029850747,0.7754,0.7117,0.7248880597014926,0.7398,0.7963,0.8000007462686568,0.8042,0.7303,0.7321462686567165,0.7344,15.2,15.662686567164178,16.4,4,43.295,43.3,0.0049999999999954525,0.012500000000002842,-0.0025000000000048317,0.0,12.32,18.54,6.08,0.5864,0.8690000000000001,0.3583,17.57,0.0,3.19,1
2019-04-07,0.795,0.8120481481481481,0.8264,0.7798,0.7944629629629629,0.8162,0.7501,0.7635748148148148,0.7927,0.707,0.7233511111111112,0.7557,0.7935,0.7998511111111111,0.8132,0.7284,0.7328755555555555,0.7396,14.4,14.853333333333333,15.4,4,43.2975,43.315,0.017499999999998295,0.0024999999999977263,0.015000000000000568,14.799999999999955,13.78,18.81,8.89,0.5618,0.8440000000000001,0.3148,16.91,2.57,3.64,1
2019-04-08,0.8041,0.8071279411764706,0.8114,0.7862,0.7894889705882352,0.7959,0.7541,0.7588588235294118,0.7649,0.7077,0.7162220588235294,0.7252,0.7921,0.795402205882353,0.7993,0.7282,0.7303779411764706,0.7333,14.6,14.842647058823529,15.2,4,43.3125,43.315,0.0024999999999977263,0.015000000000000568,0.0,0.0,16.01,22.93,11.29,0.6705,0.871,0.3689,14.48,0.4,3.13,1
2019-04-09,0.7917,0.8134481751824818,0.8391,0.7825,0.8003291970802919,0.832,0.7534,0.7705532846715328,0.808,0.7046,0.7290897810218978,0.7899,0.7905,0.798214598540146,0.8139,0.7265,0.7313802919708029,0.7382,15.2,15.38978102189781,15.6,4,43.305,43.3125,0.007500000000000284,-0.007500000000000284,-0.0024999999999977263,24.59999999999991,16.38,21.4,11.74,0.469,0.7509999999999999,0.2384,24.12,0.0,5.05,1
2019-04-10,0.7889,0.8008058394160584,0.8132,0.7835,0.7899372262773723,0.8003,0.7552,0.7624153284671533,0.7721,0.7093,0.7209649635036496,0.7335,0.7925,0.7954518248175183,0.7993,0.7277,0.7299248175182482,0.7326,15.2,15.432116788321167,16.0,4,43.305,43.31,0.005000000000002558,0.0,-0.0024999999999977263,0.0,13.82,18.81,8.95,0.5819,0.779,0.3375,15.92,0.99,3.66,1
2019-04-11,0.7788,0.8081285714285714,0.8353,0.7773,0.7979406015037593,0.8305,0.7506,0.7691706766917293,0.8049,0.7037,0.7279323308270677,0.7827,0.7905,0.7970857142857143,0.8088,0.7263,0.7292157894736842,0.7328,14.4,14.99548872180451,15.4,4,43.3075,43.31,0.0025000000000048317,0.0024999999999977263,0.0,10.800000000000182,15.47,21.93,8.36,0.4991,0.765,0.2303,26.04,0.0,4.62,1
2019-04-12,0.7848,0.8013438461538461,0.815,0.7877,0.7918553846153846,0.8011,0.7555,0.7617238461538461,0.7705,0.7081,0.7199876923076923,0.732,0.7923,0.7948653846153846,0.7981,0.7263,0.7276238461538461,0.7298,15.2,15.49076923076923,16.0,4,43.31,43.3175,0.007500000000000284,0.0025000000000048317,0.007500000000000284,0.0,15.21,22.78,9.08,0.5061,0.813,0.19140000000000001,25.87,0.0,4.74,1
